epoch,env_steps,avg_ep_return,avg_ep_len,success_rate,avg_final_goal_dist,avg_min_goal_dist,policy_loss,value_loss,entropy,loss
1,4096,-47.20651592538815,100.0,0.0,0.2915579115971923,0.10357521553523838,nan,nan,nan,nan
2,8192,-44.25767841174269,96.88095238095238,0.023809523809523808,0.2560459317062937,0.10265686347459753,nan,nan,nan,nan
3,12288,-42.27944391826083,90.93181818181819,0.09090909090909091,0.2761337619528852,0.08938377828929912,nan,nan,nan,nan
4,16384,-44.03844556188548,94.53488372093024,0.046511627906976744,0.27162761462115964,0.10123548383802869,nan,nan,nan,nan
5,20480,-45.49797174928473,97.0,0.023809523809523808,0.28384770160274847,0.09216982800336111,nan,nan,nan,nan
6,24576,-48.480076564628575,99.46341463414635,0.0,0.30450754485479214,0.11398311445444095,nan,nan,nan,nan
7,28672,-45.63946072397956,95.30952380952381,0.047619047619047616,0.28045964105764315,0.09463641905624952,nan,nan,nan,nan
8,32768,-41.280736070352646,93.13953488372093,0.06976744186046512,0.2535322904803379,0.07459794593498457,nan,nan,nan,nan
9,36864,-48.770043957535606,97.78048780487805,0.0,0.3110890699232497,0.1213514703530364,nan,nan,nan,nan
10,40960,-46.77966391575434,97.8780487804878,0.0,0.30749823025813916,0.09491978126873331,nan,nan,nan,nan
11,45056,-44.38133060956643,93.27906976744185,0.09302325581395349,0.29649366267285376,0.10547039196501638,nan,nan,nan,nan
12,49152,-46.3815469960077,97.30952380952381,0.023809523809523808,0.2863595873294842,0.10521230651509195,nan,nan,nan,nan
13,53248,-45.31998098648221,94.86046511627907,0.06976744186046512,0.2804001329878215,0.1009758380891452,nan,nan,nan,nan
14,57344,-46.30514430012184,97.85365853658537,0.024390243902439025,0.2635102333818994,0.10732684420739733,nan,nan,nan,nan
15,61440,-45.196820534552884,96.16666666666667,0.047619047619047616,0.275460771063254,0.10313254479496252,nan,nan,nan,nan
16,65536,-46.13871079105649,98.34146341463415,0.024390243902439025,0.3010242677679876,0.09802859994332964,nan,nan,nan,nan
17,69632,-42.23465302919612,96.16666666666667,0.023809523809523808,0.2699717942270495,0.08463408957634654,nan,nan,nan,nan
18,73728,-47.13999661767671,96.80952380952381,0.023809523809523808,0.31352415849410353,0.10966280315603529,nan,nan,nan,nan
19,77824,-45.61796833410737,95.57142857142857,0.07142857142857142,0.270184974607435,0.102874697518668,nan,nan,nan,nan
20,81920,-45.2251358623356,93.67441860465117,0.046511627906976744,0.2851946695902666,0.10115744569880325,nan,nan,nan,nan
21,86016,-44.3415746354818,95.38095238095238,0.07142857142857142,0.26801987191928284,0.09696145169436932,nan,nan,nan,nan
22,90112,-42.58725168309717,91.3409090909091,0.11363636363636363,0.26382940188473597,0.08106198591518808,nan,nan,nan,nan
23,94208,-44.729307256974025,96.4047619047619,0.023809523809523808,0.28975248527491376,0.1004221018048979,nan,nan,nan,nan
24,98304,-44.76854727859672,96.5952380952381,0.047619047619047616,0.28927537115911645,0.09882090728552569,nan,nan,nan,nan
25,102400,-47.02726977177277,99.04878048780488,0.0,0.3070180546946642,0.10488732254541502,nan,nan,nan,nan
26,106496,-44.39060926296936,94.34883720930233,0.06976744186046512,0.27680891596300655,0.09669360379840053,nan,nan,nan,nan
27,110592,-42.636305160124614,90.97727272727273,0.1590909090909091,0.2634395232889801,0.08945152749815448,nan,nan,nan,nan
28,114688,-43.84460812580488,95.97619047619048,0.07142857142857142,0.2554886273463212,0.08872503026699026,nan,nan,nan,nan
29,118784,-47.178642792719785,94.09302325581395,0.046511627906976744,0.3113079288931087,0.11786900802926961,nan,nan,nan,nan
30,122880,-42.56433030446472,90.22222222222223,0.1111111111111111,0.2526389674205954,0.08446344116754416,nan,nan,nan,nan
31,126976,-41.98878244567566,93.76744186046511,0.06976744186046512,0.24985884816580733,0.09313421269748794,nan,nan,nan,nan
32,131072,-44.75991921529738,98.4390243902439,0.0,0.26257012330177354,0.08322824801250202,nan,nan,nan,nan
33,135168,-44.50028975729681,93.65116279069767,0.09302325581395349,0.3025178993770549,0.09966194776948108,nan,nan,nan,nan
34,139264,-45.88141311386036,96.11904761904762,0.023809523809523808,0.28586959931999445,0.10057539692414659,nan,nan,nan,nan
35,143360,-42.876245941961656,92.0,0.09090909090909091,0.2732784068000249,0.09999763146466152,nan,nan,nan,nan
36,147456,-46.12859012022069,98.82926829268293,0.0,0.2880253202122886,0.10209211380016513,nan,nan,nan,nan
37,151552,-45.09780603170048,95.73809523809524,0.09523809523809523,0.2702235400321938,0.09709970471227453,nan,nan,nan,nan
38,155648,-43.46097353620914,94.88372093023256,0.046511627906976744,0.24424181172494278,0.08541883168698744,nan,nan,nan,nan
39,159744,-44.643202409037976,97.63414634146342,0.024390243902439025,0.26830636123876744,0.08006295480015801,nan,nan,nan,nan
40,163840,-45.64267342249626,95.73809523809524,0.047619047619047616,0.29478343962026493,0.09918241526576735,nan,nan,nan,nan
41,167936,-48.3200673315039,98.17073170731707,0.0,0.3052436178777276,0.11308802991378598,nan,nan,nan,nan
42,172032,-45.34716690747993,95.5952380952381,0.047619047619047616,0.30077297056448604,0.10394859103308547,nan,nan,nan,nan
43,176128,-45.721270086423274,95.5952380952381,0.047619047619047616,0.2826152003059785,0.10850435091803472,nan,nan,nan,nan
44,180224,-45.20113013772133,96.02380952380952,0.047619047619047616,0.302328582542638,0.09653554550771203,nan,nan,nan,nan
45,184320,-45.24483096621679,93.04545454545455,0.09090909090909091,0.29174434969371016,0.09493774844502861,nan,nan,nan,nan
46,188416,-45.36453324674392,99.95,0.0,0.2515011980198324,0.09841758189722896,nan,nan,nan,nan
47,192512,-43.06583008642158,93.95348837209302,0.046511627906976744,0.2520430704665392,0.09308003315832032,nan,nan,nan,nan
48,196608,-47.88956979325445,97.5609756097561,0.04878048780487805,0.2800072422478257,0.1130616574934343,nan,nan,nan,nan
49,200704,-46.231688118261864,97.65853658536585,0.0,0.2923107848661702,0.11362292672075876,nan,nan,nan,nan
50,204800,-44.24843594641381,93.48837209302326,0.046511627906976744,0.26518052643121676,0.11375146753392941,nan,nan,nan,nan
51,208896,-46.51455583335857,97.58536585365853,0.04878048780487805,0.3013974199207818,0.09568286659877474,nan,nan,nan,nan
52,212992,-44.69779703200925,95.45238095238095,0.047619047619047616,0.28275493330632645,0.1053862728045455,nan,nan,nan,nan
53,217088,-44.507553597023346,94.25581395348837,0.046511627906976744,0.2844097735360265,0.10556648275273484,nan,nan,nan,nan
54,221184,-45.257650311527556,97.35714285714286,0.023809523809523808,0.2847147442045666,0.09376891476235219,nan,nan,nan,nan
55,225280,-46.18150072534333,97.16666666666667,0.09523809523809523,0.28161529092384235,0.09931983182295448,nan,nan,nan,nan
56,229376,-44.273417795828,98.04878048780488,0.024390243902439025,0.25780903548002243,0.08882722240395663,nan,nan,nan,nan
57,233472,-43.15658403521537,95.45238095238095,0.047619047619047616,0.25367938853534205,0.0935956624425238,nan,nan,nan,nan
58,237568,-47.03448815178743,97.8780487804878,0.0,0.2782771316606824,0.11391218560861378,nan,nan,nan,nan
59,241664,-44.06731411457009,96.73809523809524,0.023809523809523808,0.27397572626138017,0.092082100654287,nan,nan,nan,nan
60,245760,-43.7181804736732,96.30952380952381,0.047619047619047616,0.26299602735698935,0.08430066281220033,nan,nan,nan,nan
61,249856,-43.766645512268866,93.81395348837209,0.11627906976744186,0.2695134909347046,0.09837463025956653,nan,nan,nan,nan
62,253952,-46.11814412733968,96.02380952380952,0.047619047619047616,0.297609621836316,0.10546297526785306,nan,nan,nan,nan
63,258048,-47.30338549465182,97.7560975609756,0.024390243902439025,0.28848664657916967,0.1060311731587096,nan,nan,nan,nan
64,262144,-43.95248079128982,94.37209302325581,0.046511627906976744,0.28326784451167253,0.10282498806021935,nan,nan,nan,nan
65,266240,-47.023817687670885,99.07317073170732,0.0,0.28246258835240107,0.11208734034401614,nan,nan,nan,nan
66,270336,-45.65459382762501,95.21428571428571,0.047619047619047616,0.2954173772595823,0.10756065392689336,nan,nan,nan,nan
67,274432,-43.266713154651846,93.62790697674419,0.046511627906976744,0.27980748620317425,0.09961708041644374,nan,nan,nan,nan
68,278528,-45.162650898886056,98.29268292682927,0.0,0.29180573690228345,0.09697630610771296,nan,nan,nan,nan
69,282624,-47.03825487403601,97.97560975609755,0.024390243902439025,0.29712977878204205,0.11246516396541421,nan,nan,nan,nan
70,286720,-45.10645368419278,95.16279069767442,0.06976744186046512,0.26653341442173306,0.1030147260184898,nan,nan,nan,nan
71,290816,-45.02670625663401,97.85365853658537,0.024390243902439025,0.257118964386059,0.09907929095008024,nan,nan,nan,nan
72,294912,-46.212168119224984,97.95121951219512,0.0,0.2994047488744666,0.10714868424324,nan,nan,nan,nan
73,299008,-42.53830603026636,92.02272727272727,0.09090909090909091,0.2727989854439246,0.08934398104479029,nan,nan,nan,nan
74,303104,-45.84903763129337,96.85714285714286,0.047619047619047616,0.2739430447774274,0.09499414699772994,nan,nan,nan,nan
75,307200,-49.32720205346605,96.0,0.047619047619047616,0.32333571410604883,0.12670666875228995,nan,nan,nan,nan
76,311296,-44.17287394650123,92.86363636363636,0.06818181818181818,0.28051385639066045,0.10531523679806427,nan,nan,nan,nan
77,315392,-45.36763821072035,97.45238095238095,0.023809523809523808,0.2852392748574771,0.08880524290725589,nan,nan,nan,nan
78,319488,-46.051030812538286,99.925,0.0,0.2863482039421797,0.09199170684441924,nan,nan,nan,nan
79,323584,-42.34911584459894,93.53488372093024,0.046511627906976744,0.26631103035842263,0.08568621370508227,nan,nan,nan,nan
80,327680,-43.72660626026225,93.44186046511628,0.06976744186046512,0.2788068628978244,0.09644086440202108,nan,nan,nan,nan
81,331776,-45.371238648481985,93.34883720930233,0.06976744186046512,0.2582062793852285,0.10547575644802215,nan,nan,nan,nan
82,335872,-45.73232914874812,96.02380952380952,0.023809523809523808,0.3000926889390463,0.09761509237190087,nan,nan,nan,nan
83,339968,-46.89405353395823,98.2439024390244,0.024390243902439025,0.29083225330928475,0.107730181660594,nan,nan,nan,nan
84,344064,-39.660727953230825,87.17391304347827,0.15217391304347827,0.23013015093443834,0.08740991785231492,nan,nan,nan,nan
85,348160,-47.12940577061108,97.90243902439025,0.0,0.3027174718132833,0.11659978021208833,nan,nan,nan,nan
86,352256,-42.12762735338379,92.27272727272727,0.06818181818181818,0.2462433098434386,0.09353590851903638,nan,nan,nan,nan
87,356352,-46.03331191867038,99.1219512195122,0.0,0.27134488214079927,0.10147986320278994,nan,nan,nan,nan
88,360448,-44.338959087019916,92.4090909090909,0.13636363636363635,0.274744813605635,0.09217253769747913,nan,nan,nan,nan
89,364544,-46.632035278408054,99.26829268292683,0.0,0.26307885494174027,0.10088004975965838,nan,nan,nan,nan
90,368640,-46.57847243249602,97.58536585365853,0.024390243902439025,0.27693546967717203,0.10746835499275022,nan,nan,nan,nan
91,372736,-44.73683942850983,95.4047619047619,0.047619047619047616,0.24493453496446213,0.10330060292922315,nan,nan,nan,nan
92,376832,-42.95521191941661,93.55813953488372,0.06976744186046512,0.2691229060292244,0.0979357810561047,nan,nan,nan,nan
93,380928,-48.443817788470966,98.21951219512195,0.0,0.32541368156671524,0.10492255602304529,nan,nan,nan,nan
94,385024,-45.329800025024895,96.07142857142857,0.023809523809523808,0.27630157347413753,0.10585758666552249,nan,nan,nan,nan
95,389120,-46.90148881403845,97.65853658536585,0.024390243902439025,0.2691666709213722,0.10366857169968326,nan,nan,nan,nan
96,393216,-45.791665218426104,97.14285714285714,0.023809523809523808,0.2652799451856741,0.1065301056286054,nan,nan,nan,nan
97,397312,-45.27564241690044,97.78048780487805,0.024390243902439025,0.2831982113875267,0.09126514505322386,nan,nan,nan,nan
98,401408,-42.76880778240988,91.45454545454545,0.06818181818181818,0.27630475178276276,0.0998131784144789,nan,nan,nan,nan
99,405504,-45.211691868356446,96.14285714285714,0.023809523809523808,0.27496155535447453,0.10290068665164567,nan,nan,nan,nan
100,409600,-45.60265894495576,97.19047619047619,0.023809523809523808,0.2857241105022175,0.09852818838719811,nan,nan,nan,nan
101,413696,-44.431456414986776,95.18604651162791,0.046511627906976744,0.260965957977744,0.09767633771827054,nan,nan,nan,nan
102,417792,-43.007808660023834,92.79545454545455,0.09090909090909091,0.2312224645971913,0.09262545764530924,nan,nan,nan,nan
103,421888,-42.38864493958959,94.88372093023256,0.06976744186046512,0.24838958286442037,0.0819022881170345,nan,nan,nan,nan
104,425984,-45.09358456926691,97.0952380952381,0.047619047619047616,0.2730275675920503,0.10334028183881726,nan,nan,nan,nan
105,430080,-46.134325681559005,97.35714285714286,0.047619047619047616,0.28048801036285503,0.09358982719658386,nan,nan,nan,nan
106,434176,-46.500301026550474,97.30952380952381,0.047619047619047616,0.26378721473295064,0.107035601023762,nan,nan,nan,nan
107,438272,-46.88669126308385,99.60975609756098,0.024390243902439025,0.28128902695891334,0.09587893816756039,nan,nan,nan,nan
108,442368,-45.788355755493996,94.67441860465117,0.06976744186046512,0.3181982837444128,0.10304718663872675,nan,nan,nan,nan
109,446464,-46.35251820726233,97.8780487804878,0.04878048780487805,0.2671199530453944,0.10478916187293646,nan,nan,nan,nan
110,450560,-45.77491405600276,97.97560975609755,0.0,0.2841911081497262,0.10764249632271325,nan,nan,nan,nan
111,454656,-44.137299091060434,95.92857142857143,0.047619047619047616,0.28399945533878745,0.0980886406309548,nan,nan,nan,nan
112,458752,-44.545923480621596,96.14285714285714,0.023809523809523808,0.2763021173221724,0.09215020787503038,nan,nan,nan,nan
113,462848,-43.76940121003175,93.23255813953489,0.09302325581395349,0.264975443287471,0.09923112901404153,nan,nan,nan,nan
114,466944,-43.99959735363468,92.13636363636364,0.06818181818181818,0.2582456753800877,0.0999372764702209,nan,nan,nan,nan
115,471040,-46.75399613362404,96.5952380952381,0.047619047619047616,0.28773856145285426,0.11209567596337625,nan,nan,nan,nan
116,475136,-45.43603657841787,96.42857142857143,0.047619047619047616,0.29101899665381226,0.10000699417044719,nan,nan,nan,nan
117,479232,-47.5496887976218,96.97619047619048,0.047619047619047616,0.30185435138021904,0.10696261666626447,nan,nan,nan,nan
118,483328,-43.45504683103958,95.38095238095238,0.047619047619047616,0.26173293665938435,0.0908457086909385,nan,nan,nan,nan
119,487424,-44.41705524538061,94.93023255813954,0.06976744186046512,0.27694950499680154,0.0915298076389834,nan,nan,nan,nan
120,491520,-43.86282813498468,95.57142857142857,0.047619047619047616,0.28083423485181164,0.08466355378429095,nan,nan,nan,nan
121,495616,-47.28324345404633,98.0,0.0,0.29784526666853484,0.1188207393648421,nan,nan,nan,nan
122,499712,-39.77464632576277,86.85106382978724,0.1276595744680851,0.2584686513910902,0.09101138810845132,nan,nan,nan,nan
123,503808,-46.7597207325602,99.65853658536585,0.0,0.2734729922035845,0.0952767682511632,nan,nan,nan,nan
124,507904,-46.17537787197416,98.6829268292683,0.024390243902439025,0.27231468462453384,0.09966743880564846,nan,nan,nan,nan
125,512000,-44.46140694887717,94.16279069767442,0.06976744186046512,0.26224442536747733,0.09584697002415048,nan,nan,nan,nan
126,516096,-47.78247170684939,98.6829268292683,0.024390243902439025,0.27726482159299093,0.10329365889291937,nan,nan,nan,nan
127,520192,-45.92793061521596,98.17073170731707,0.024390243902439025,0.29067956088337954,0.09379297944648964,nan,nan,nan,nan
128,524288,-46.07316480023584,96.07142857142857,0.023809523809523808,0.2846205427444407,0.10301643224166972,nan,nan,nan,nan
129,528384,-45.7913525687929,96.52380952380952,0.047619047619047616,0.27787071486402837,0.10667169743794061,nan,nan,nan,nan
130,532480,-43.02114761659806,92.4090909090909,0.09090909090909091,0.25098643356680195,0.08974125280722299,nan,nan,nan,nan
131,536576,-44.94359106829158,96.4047619047619,0.07142857142857142,0.27200428964126677,0.08897554182580539,nan,nan,nan,nan
132,540672,-43.3654861754228,96.04761904761905,0.047619047619047616,0.2664869865846066,0.08385430467093274,nan,nan,nan,nan
133,544768,-47.52050099471902,98.48780487804878,0.0,0.3083118423819542,0.10092205649650679,nan,nan,nan,nan
134,548864,-44.72295796926568,96.45238095238095,0.023809523809523808,0.2869810853596954,0.09802584119495891,nan,nan,nan,nan
135,552960,-45.93094625957802,96.4047619047619,0.047619047619047616,0.2689035899626712,0.10387017198705248,nan,nan,nan,nan
136,557056,-45.26682820024981,95.16279069767442,0.046511627906976744,0.28366273437994854,0.10473201666460481,nan,nan,nan,nan
137,561152,-44.15829655582644,97.30952380952381,0.047619047619047616,0.2733597482465917,0.0901719833546806,nan,nan,nan,nan
138,565248,-45.64066397337218,98.1951219512195,0.04878048780487805,0.2619176193980909,0.10220921257647073,nan,nan,nan,nan
139,569344,-45.963560397567136,95.97619047619048,0.023809523809523808,0.2897649130650929,0.11412322547818933,nan,nan,nan,nan
140,573440,-44.15736733233488,95.09302325581395,0.06976744186046512,0.26232576294433935,0.10077649153509112,nan,nan,nan,nan
141,577536,-45.93321789381484,94.79069767441861,0.06976744186046512,0.2783898478373885,0.10808904536155074,nan,nan,nan,nan
142,581632,-46.33187219768744,97.92682926829268,0.024390243902439025,0.28788177687220456,0.09946895127252835,nan,nan,nan,nan
143,585728,-41.98249378971279,90.28888888888889,0.08888888888888889,0.2535034275510245,0.09082996429254611,nan,nan,nan,nan
144,589824,-41.69311691967509,92.95454545454545,0.11363636363636363,0.23864935454912484,0.08308761060999875,nan,nan,nan,nan
145,593920,-44.17460978514648,95.69047619047619,0.07142857142857142,0.26985047030306997,0.10106122719922236,nan,nan,nan,nan
146,598016,-43.74562235703869,93.16279069767442,0.06976744186046512,0.27161350233350384,0.09259853133022092,nan,nan,nan,nan
147,602112,-41.54925307294247,91.61363636363636,0.09090909090909091,0.2507534040011127,0.09111431818878786,nan,nan,nan,nan
148,606208,-44.25849392261624,96.23809523809524,0.047619047619047616,0.26235962011629627,0.0852846350254757,nan,nan,nan,nan
149,610304,-45.81978054590519,98.60975609756098,0.024390243902439025,0.25660453882159256,0.09534771526913817,nan,nan,nan,nan
150,614400,-45.93515277282417,95.9047619047619,0.07142857142857142,0.2828490385519607,0.09990785874071575,nan,nan,nan,nan
151,618496,-42.679902483364316,92.88636363636364,0.06818181818181818,0.2614877542099831,0.0889479606200687,nan,nan,nan,nan
152,622592,-45.468922736885055,96.11904761904762,0.047619047619047616,0.30161223460787107,0.09562330092081711,nan,nan,nan,nan
153,626688,-47.96530941260443,98.5609756097561,0.0,0.308990329867456,0.10569562045175855,nan,nan,nan,nan
154,630784,-44.409860365421395,94.86046511627907,0.06976744186046512,0.28199117739013463,0.09114616914370725,nan,nan,nan,nan
155,634880,-45.75645434440858,95.52380952380952,0.047619047619047616,0.2805550132567684,0.10783170988517148,nan,nan,nan,nan
156,638976,-42.46549719078312,96.71428571428571,0.023809523809523808,0.2545406930370345,0.08023642839509107,nan,nan,nan,nan
157,643072,-45.92724488512884,93.81395348837209,0.06976744186046512,0.3070288875010298,0.10310797260121204,nan,nan,nan,nan
158,647168,-43.183293701485894,93.51162790697674,0.09302325581395349,0.2586703563845435,0.08098513290805873,nan,nan,nan,nan
159,651264,-44.25972367913446,93.48837209302326,0.06976744186046512,0.2622553328008846,0.1033786130246035,nan,nan,nan,nan
160,655360,-41.39428544661138,92.86363636363636,0.09090909090909091,0.22631987586448138,0.09380343446338718,nan,nan,nan,nan
161,659456,-46.93081613750916,96.69047619047619,0.047619047619047616,0.28587455337955836,0.10760492906861362,nan,nan,nan,nan
162,663552,-47.23394588361734,97.90243902439025,0.024390243902439025,0.27646703295773123,0.11199325445766856,nan,nan,nan,nan
163,667648,-43.078498076614046,94.18604651162791,0.06976744186046512,0.24898949936898643,0.08827497983394667,nan,nan,nan,nan
164,671744,-45.063176794748486,96.80952380952381,0.047619047619047616,0.30355855101896895,0.09780047099948638,nan,nan,nan,nan
165,675840,-46.889559652021596,97.11904761904762,0.023809523809523808,0.2888363520060444,0.10778008664159902,nan,nan,nan,nan
166,679936,-45.2844571526552,95.64285714285714,0.07142857142857142,0.2790817490534946,0.09842010391210872,nan,nan,nan,nan
167,684032,-46.04840667530709,96.0,0.023809523809523808,0.2809283370595603,0.10809069659028735,nan,nan,nan,nan
168,688128,-49.06360745627963,98.4390243902439,0.0,0.28340347056708687,0.1162893513172138,nan,nan,nan,nan
169,692224,-45.3417381180122,94.44186046511628,0.046511627906976744,0.27721353891024064,0.10307040041702431,nan,nan,nan,nan
170,696320,-45.190408474012514,92.61363636363636,0.09090909090909091,0.29471805721352046,0.09967712774364786,nan,nan,nan,nan
171,700416,-45.98997549767885,95.52380952380952,0.047619047619047616,0.30319938048099476,0.10193811492284849,nan,nan,nan,nan
172,704512,-45.727755900401526,95.30952380952381,0.07142857142857142,0.3077132769505538,0.09681922514435082,nan,nan,nan,nan
173,708608,-43.83384687386542,91.20454545454545,0.09090909090909091,0.28833401846614753,0.10119199951771986,nan,nan,nan,nan
174,712704,-43.992816058130074,96.5,0.023809523809523808,0.247206586607111,0.09257189718274665,nan,nan,nan,nan
175,716800,-46.820119283759105,96.88095238095238,0.023809523809523808,0.283751272285978,0.11173198225774936,nan,nan,nan,nan
176,720896,-47.366336452632204,96.97619047619048,0.047619047619047616,0.29026933790494996,0.1109971839136311,nan,nan,nan,nan
177,724992,-48.7789717160468,99.4390243902439,0.0,0.30583104981881815,0.11634129494792078,nan,nan,nan,nan
178,729088,-44.201062942033666,97.5,0.07142857142857142,0.2412564289490027,0.09400961199952733,nan,nan,nan,nan
179,733184,-45.12794034795971,96.73809523809524,0.047619047619047616,0.2878822914457747,0.09235327207439002,nan,nan,nan,nan
180,737280,-44.884338191687824,97.5,0.023809523809523808,0.2763611792276303,0.09658844866568134,nan,nan,nan,nan
181,741376,-45.02599012396462,95.9047619047619,0.07142857142857142,0.29349340604884283,0.0975243357409324,nan,nan,nan,nan
182,745472,-44.14735389980479,90.53333333333333,0.08888888888888889,0.2973661212871472,0.10384577380286322,nan,nan,nan,nan
183,749568,-43.305318176776474,94.11627906976744,0.06976744186046512,0.26778575509440067,0.08815921747753787,nan,nan,nan,nan
184,753664,-45.51809096964126,97.16666666666667,0.023809523809523808,0.26993577927351,0.1043563967215873,nan,nan,nan,nan
185,757760,-44.91612361663132,97.16666666666667,0.047619047619047616,0.27751029564422514,0.0896966738759407,nan,nan,nan,nan
186,761856,-42.94247396528425,96.66666666666667,0.07142857142857142,0.22503001535577433,0.08494004305629503,nan,nan,nan,nan
187,765952,-41.88087415566729,90.8409090909091,0.09090909090909091,0.25760254936970095,0.09361849098720333,nan,nan,nan,nan
188,770048,-45.64036527566519,97.58536585365853,0.0,0.27510044487511237,0.10248608918996846,nan,nan,nan,nan
189,774144,-45.655982403611134,97.6829268292683,0.0,0.2844498708117299,0.10152742416575188,nan,nan,nan,nan
190,778240,-43.686540348714864,91.5,0.06818181818181818,0.27762725216929207,0.10056719277054071,nan,nan,nan,nan
191,782336,-45.210495885017735,96.4047619047619,0.047619047619047616,0.26655845521461397,0.10522548614868096,nan,nan,nan,nan
192,786432,-45.33134136724659,97.47619047619048,0.023809523809523808,0.31598886674536125,0.10269772190423239,nan,nan,nan,nan
193,790528,-47.504262893335785,99.95,0.0,0.2911515587940812,0.10269683394581079,nan,nan,nan,nan
194,794624,-43.43473867502858,96.16666666666667,0.023809523809523808,0.2720841096847185,0.08915646487314786,nan,nan,nan,nan
195,798720,-46.07454695031373,98.60975609756098,0.0,0.2871395347685349,0.10478915501295066,nan,nan,nan,nan
196,802816,-44.126495618196515,94.48837209302326,0.046511627906976744,0.2696236195259316,0.09372449774554996,nan,nan,nan,nan
197,806912,-44.210063895581754,97.33333333333333,0.023809523809523808,0.244193118154293,0.0947891277748914,nan,nan,nan,nan
198,811008,-43.677646727957494,92.56818181818181,0.09090909090909091,0.26625244694084604,0.09798919263465161,nan,nan,nan,nan
199,815104,-43.79449994737736,95.19047619047619,0.07142857142857142,0.28104079113386216,0.08552136008317272,nan,nan,nan,nan
200,819200,-44.29775545434836,94.46511627906976,0.046511627906976744,0.26688363628332007,0.10164556717283504,nan,nan,nan,nan
201,823296,-47.25665279898867,99.17073170731707,0.0,0.27504809564206656,0.1049946968602698,nan,nan,nan,nan
